"sampleid","parent","timepoint","cluster"
"AE05","AE05","initial",1
"AE05","AE05","initial",1
"AE05","AE05","initial",1
"AE05","AE05","initial",1
"AE101","AE101","initial",2
"AE101","AE101","initial",2
"AE101","AE101","initial",2
"AE101","AE101","initial",2
"AE103","AE103","initial",2
"AE103","AE103","initial",2
"AE103","AE103","initial",2
"AE103","AE103","initial",2
"AE12","AE12","initial",3
"AE12","AE12","initial",3
"AE12","AE12","initial",3
"AE126","AE126","initial",2
"AE126","AE126","initial",2
"AE126","AE126","initial",2
"AE126","AE126","initial",2
"AE155","AE155","initial",4
"AE155","AE155","initial",4
"AE155","AE155","initial",4
"AE155","AE155","initial",4
"AE172","AE172","initial",5
"AE172","AE172","initial",5
"AE172","AE172","initial",5
"AE172","AE172","initial",5
"AE22","AE22","initial",3
"AE22","AE22","initial",3
"AE22","AE22","initial",3
"AE22","AE22","initial",3
"AE23","AE23","initial",3
"AE23","AE23","initial",3
"AE23","AE23","initial",3
"AE23","AE23","initial",3
"AE26","AE26","initial",3
"AE26","AE26","initial",3
"AE26","AE26","initial",3
"AE26","AE26","initial",3
"AE27","AE27","initial",2
"AE27","AE27","initial",2
"AE27","AE27","initial",2
"AE27","AE27","initial",2
"AE52","AE52","initial",5
"AE52","AE52","initial",5
"AE52","AE52","initial",5
"AE95","AE95","initial",2
"AE95","AE95","initial",2
"AE95","AE95","initial",2
"AE95","AE95","initial",2
"BB01","BB01","initial",3
"BB01","BB01","initial",3
"BB01","BB01","initial",3
"BB01","BB01","initial",3
"BB02","BB02","initial",6
"BB02","BB02","initial",6
"BB02","BB02","initial",6
"BB02","BB02","initial",6
"BB03","BB03","initial",5
"BB03","BB03","initial",5
"BB03","BB03","initial",5
"BB03","BB03","initial",5
"BB05","BB05","initial",5
"BB05","BB05","initial",5
"BB05","BB05","initial",5
"BB05","BB05","initial",5
"BB06","BB06","initial",5
"BB06","BB06","initial",5
"BB06","BB06","initial",5
"BB06","BB06","initial",5
"BB07","BB07","initial",5
"BB07","BB07","initial",5
"BB07","BB07","initial",5
"BB07","BB07","initial",5
"BB08","BB08","initial",2
"BB08","BB08","initial",2
"BB08","BB08","initial",2
"BB09","BB09","initial",5
"BB09","BB09","initial",5
"BB09","BB09","initial",5
"BB09","BB09","initial",5
"BB10","BB10","initial",1
"BB10","BB10","initial",1
"BB10","BB10","initial",1
"BB10","BB10","initial",1
"BB11","BB11","initial",5
"BB11","BB11","initial",5
"BB11","BB11","initial",5
"BB11","BB11","initial",5
"BB12","BB12","initial",5
"BB12","BB12","initial",5
"BB12","BB12","initial",5
"BB12","BB12","initial",5
"BB13","BB13","initial",3
"BB13","BB13","initial",3
"BB13","BB13","initial",3
"BB13","BB13","initial",3
"BB14","BB14","initial",5
"BB14","BB14","initial",5
"BB14","BB14","initial",5
"BB14","BB14","initial",5
"BB15","BB15","initial",5
"BB15","BB15","initial",5
"BB15","BB15","initial",5
"BB15","BB15","initial",5
"BB16","BB16","initial",5
"BB16","BB16","initial",5
"BB16","BB16","initial",5
"BB16","BB16","initial",5
"BB17","BB17","initial",5
"BB17","BB17","initial",5
"BB17","BB17","initial",5
"BB17","BB17","initial",5
"BB18","BB18","initial",5
"BB18","BB18","initial",5
"BB18","BB18","initial",5
"BB18","BB18","initial",5
"BB19","BB19","initial",1
"BB19","BB19","initial",1
"BB19","BB19","initial",1
"BB19","BB19","initial",1
"BB20","BB20","initial",5
"BB20","BB20","initial",5
"BB20","BB20","initial",5
"BB20","BB20","initial",5
"BB21","BB21","initial",1
"BB21","BB21","initial",1
"BB21","BB21","initial",1
"BB21","BB21","initial",1
"BB22","BB22","initial",2
"BB22","BB22","initial",2
"BB22","BB22","initial",2
"BB22","BB22","initial",2
"BB23","BB23","initial",5
"BB23","BB23","initial",5
"BB23","BB23","initial",5
"BB23","BB23","initial",5
"BB25","BB25","initial",5
"BB25","BB25","initial",5
"BB25","BB25","initial",5
"BB25","BB25","initial",5
"BB26","BB26","initial",5
"BB26","BB26","initial",5
"BB26","BB26","initial",5
"BB26","BB26","initial",5
"BB29","BB29","initial",3
"BB29","BB29","initial",3
"BB29","BB29","initial",3
"BB29","BB29","initial",3
"BB35","BB35","initial",5
"BB35","BB35","initial",5
"BB35","BB35","initial",5
"BB35","BB35","initial",5
"BB40","BB40","initial",4
"BB40","BB40","initial",4
"BB40","BB40","initial",4
"BB40","BB40","initial",4
"BB52","BB52","initial",5
"BB52","BB52","initial",5
"BB52","BB52","initial",5
"BB52","BB52","initial",5
"BB57","BB57","initial",1
"BB57","BB57","initial",1
"BB57","BB57","initial",1
"BB57","BB57","initial",1
"BB60","BB60","initial",5
"BB60","BB60","initial",5
"BB60","BB60","initial",5
"BB60","BB60","initial",5
"BB61","BB61","initial",2
"BB61","BB61","initial",2
"BB61","BB61","initial",2
"BB61","BB61","initial",2
"BB66","BB66","initial",1
"BB66","BB66","initial",1
"BB66","BB66","initial",1
"BB66","BB66","initial",1
"BB88","BB88","initial",6
"BB88","BB88","initial",6
"BB88","BB88","initial",6
"BB88","BB88","initial",6
"BWd01","BWd01","initial",5
"BWd01","BWd01","initial",5
"BWd01","BWd01","initial",5
"BWd01","BWd01","initial",5
"BWd02","BWd02","initial",4
"BWd02","BWd02","initial",4
"BWd02","BWd02","initial",4
"BWd02","BWd02","initial",4
"BWd03","BWd03","initial",1
"BWd03","BWd03","initial",1
"BWd03","BWd03","initial",1
"BWd03","BWd03","initial",1
"BWd04","BWd04","initial",5
"BWd04","BWd04","initial",5
"BWd04","BWd04","initial",5
"BWd04","BWd04","initial",5
"BWd05","BWd05","initial",5
"BWd05","BWd05","initial",5
"BWd05","BWd05","initial",5
"BWd05","BWd05","initial",5
"BWd07","BWd07","initial",1
"BWd07","BWd07","initial",1
"BWd07","BWd07","initial",1
"BWd07","BWd07","initial",1
"LW01","LW01","initial",5
"LW01","LW01","initial",5
"LW01","LW01","initial",5
"LW01","LW01","initial",5
"LW03","LW03","initial",2
"LW03","LW03","initial",2
"LW03","LW03","initial",2
"LW03","LW03","initial",2
"LW04","LW04","initial",5
"LW04","LW04","initial",5
"LW04","LW04","initial",5
"LW04","LW04","initial",5
"LW05","LW05","initial",1
